Round 1: avg_loss=3.0908, avg_accuracy=0.2091
Round 2: avg_loss=2.8809, avg_accuracy=0.3223
Round 3: avg_loss=2.2475, avg_accuracy=0.4649
Round 4: avg_loss=1.9283, avg_accuracy=0.5517
Round 5: avg_loss=2.2008, avg_accuracy=0.5182
Round 6: avg_loss=2.1984, avg_accuracy=0.5331
Round 7: avg_loss=1.6228, avg_accuracy=0.6600
Round 8: avg_loss=1.9866, avg_accuracy=0.6427
Round 9: avg_loss=1.6526, avg_accuracy=0.6607
Round 10: avg_loss=1.3889, avg_accuracy=0.6845
