Round 1: avg_loss=0.9672, avg_accuracy=0.7378
Round 2: avg_loss=0.9015, avg_accuracy=0.7694
Round 3: avg_loss=0.8313, avg_accuracy=0.7972
Round 4: avg_loss=0.6360, avg_accuracy=0.8327
Round 5: avg_loss=0.5493, avg_accuracy=0.8426
Round 6: avg_loss=0.4732, avg_accuracy=0.8584
Round 7: avg_loss=0.4314, avg_accuracy=0.8797
Round 8: avg_loss=0.3519, avg_accuracy=0.9007
Round 9: avg_loss=0.3973, avg_accuracy=0.8906
Round 10: avg_loss=0.3305, avg_accuracy=0.9075
