Round 1: avg_loss=1.3563, avg_accuracy=0.6087
Round 2: avg_loss=1.0805, avg_accuracy=0.7280
Round 3: avg_loss=0.9235, avg_accuracy=0.7567
Round 4: avg_loss=0.8473, avg_accuracy=0.7796
Round 5: avg_loss=0.6910, avg_accuracy=0.8117
Round 6: avg_loss=0.7207, avg_accuracy=0.8150
Round 7: avg_loss=0.7209, avg_accuracy=0.8227
Round 8: avg_loss=0.5614, avg_accuracy=0.8356
Round 9: avg_loss=0.5160, avg_accuracy=0.8487
Round 10: avg_loss=0.4478, avg_accuracy=0.8678
